date,nav,cash,positions_value
2024-01-02,500000.0,500000.0,0.0
2024-01-03,500920.08895999996,400246.08895999996,100674.00000000001
2024-01-04,502110.08895999996,400246.08895999996,101864.0
2024-01-05,501634.08895999996,400246.08895999996,101388.0
2024-01-08,494494.08895999996,400246.08895999996,94248.0
2024-01-09,494494.08895999996,400246.08895999996,94248.0
2024-01-10,493780.08895999996,400246.08895999996,93534.0
2024-01-11,492114.08895999996,400246.08895999996,91868.0
2024-01-12,492828.08895999996,400246.08895999996,92582.0
2024-01-16,502110.08895999996,400246.08895999996,101864.0
2024-01-17,500920.08895999996,400246.08895999996,100674.00000000001
2024-01-18,501158.08895999996,400246.08895999996,100912.0
2024-01-19,502110.08895999996,400246.08895999996,101864.0
2024-01-22,502110.08895999996,400246.08895999996,101864.0
2024-01-23,502110.08895999996,400246.08895999996,101864.0
2024-01-24,503776.08895999996,400246.08895999996,103529.99999999999
2024-01-25,504490.08895999996,400246.08895999996,104244.0
2024-01-26,506156.08895999996,400246.08895999996,105910.0
2024-01-29,507584.08895999996,400246.08895999996,107338.0
2024-01-30,507108.08895999996,400246.08895999996,106862.0
2024-01-31,507822.08895999996,400246.08895999996,107575.99999999999
