date,nav,cash,positions_value
2024-01-02,500000.0,500000.0,0.0
2024-01-03,500000.0,500000.0,0.0
2024-01-04,500619.06912,450200.06912,50419.0
2024-01-05,500365.06912,450200.06912,50165.0
2024-01-08,500492.06912,450200.06912,50292.0
2024-01-09,500492.06912,450200.06912,50292.0
2024-01-10,500111.06912,450200.06912,49911.0
2024-01-11,499222.06912,450200.06912,49022.0
2024-01-12,499603.06912,450200.06912,49403.0
2024-01-16,500619.06912,450200.06912,50419.0
2024-01-17,499984.06912,450200.06912,49784.0
2024-01-18,500111.06912,450200.06912,49911.0
2024-01-19,500619.06912,450200.06912,50419.0
2024-01-22,500619.06912,450200.06912,50419.0
2024-01-23,500619.06912,450200.06912,50419.0
2024-01-24,501635.06912,450200.06912,51435.0
2024-01-25,502143.06912,450200.06912,51943.0
2024-01-26,503159.06912,450200.06912,52959.0
2024-01-29,504048.06912,450200.06912,53848.0
2024-01-30,503667.06912,450200.06912,53467.0
2024-01-31,504175.06912,450200.06912,53975.0
