date,nav,cash,positions_value
2024-01-02,499850.234,400750.234,99100.0
2024-01-03,499650.234,400750.234,98900.0
2024-01-04,501090.234,400750.234,100340.0
2024-01-05,501431.0596,340811.0596,160620.0
2024-01-08,496131.0596,340811.0596,155320.0
2024-01-09,496126.9974,213898.9974,282228.0
2024-01-10,496765.9974,213898.9974,282867.0
2024-01-11,496199.9974,213898.9974,282301.0
2024-01-12,495761.9974,213898.9974,281863.0
2024-01-16,499864.0772,248408.0772,251456.0
2024-01-17,495812.0772,248408.0772,247404.0
2024-01-18,497996.0772,248408.0772,249588.0
2024-01-19,499085.0916,207815.09159999999,291270.0
2024-01-22,495645.0916,207815.09159999999,287830.0
2024-01-23,497347.0916,207815.09159999999,289532.0
2024-01-24,500678.5794,227873.5794,272805.0
2024-01-25,502131.23841999995,239955.23841999998,262176.0
2024-01-26,505145.11864,243985.11863999997,261160.0
2024-01-29,508749.11864,243985.11863999997,264764.0
2024-01-30,504527.55938,256275.55938,248252.0
2024-01-31,504051.55938,256275.55938,247776.0
