date,nav,cash,positions_value
2025-01-02,494361.141352,126161.80619500003,368199.335157
2025-01-03,486597.820175,200623.31939500003,285974.50078
2025-01-06,489082.46510000003,158805.11587,330277.34923
2025-01-07,492252.08339000004,158805.11587,333446.96752000006
2025-01-08,500662.02615399996,151959.08825,348702.937904
2025-01-10,496303.613376,192387.81536,303915.798016
2025-01-13,487109.64706600003,22120.485505000004,464989.16156100004
2025-01-14,490838.3868900001,64209.460865,426628.92602500005
2025-01-15,486825.361038,64209.460865,422615.900173
2025-01-16,487869.928514,65501.091669999994,422368.83684400003
2025-01-17,488416.27927699994,86460.66806,401955.61121699994
2025-01-21,484330.269141,144003.59471600002,340326.674425
2025-01-22,482973.16311400005,157998.05263600004,324975.110478
2025-01-23,477773.9332820001,167656.06419600005,310117.869086
2025-01-24,477009.74549000006,167656.06419600005,309353.681294
2025-01-27,478009.78707700013,188374.88754600004,289634.89953100006
2025-01-28,478508.0783370001,116322.56810600005,362185.510231
2025-01-29,478508.0783370001,116322.56810600005,362185.510231
2025-01-30,478258.9327070002,152348.72782600005,325910.2048810001
2025-01-31,478335.32257300004,202328.87921600003,276006.443357
2025-02-03,478335.32257300004,202328.87921600003,276006.443357
2025-02-04,478011.36025300005,175832.68825600002,302178.67199700006
2025-02-05,468821.75763300003,202142.35545600002,266679.402177
2025-02-06,470588.733148,202142.35545600002,268446.377692
2025-02-07,470867.75103300007,221531.67141300003,249336.07962000003
2025-02-10,465955.16451800003,255497.53104300002,210457.633475
2025-02-11,467433.73669800005,272057.51004300005,195376.226655
2025-02-12,467710.2434530001,272057.51004300005,195652.73341000002
2025-02-13,468546.51167800004,272057.51004300005,196489.001635
2025-02-14,468260.970053,272057.51004300005,196203.46001
2025-02-18,468489.174911,124180.32508300005,344308.84982799995
2025-02-19,463793.14214600006,117479.17624700005,346313.965899
2025-02-20,464997.579816,130050.50258200004,334947.07723399997
2025-02-21,456183.6587,130050.50258200004,326133.156118
2025-02-24,460443.339324,130050.50258200004,330392.83674199996
2025-02-25,458503.619894,114529.76234200005,343973.857552
2025-02-26,460501.80246,145859.45234200003,314642.35011799994
2025-02-27,469403.88396800007,150188.35307800004,319215.53089
2025-02-28,472874.926338,128441.02747800003,344433.89885999996
2025-03-03,469825.495148,128441.02747800003,341384.46767
2025-03-04,467050.86445500003,67770.90813100003,399279.956324
2025-03-05,470720.31224500004,40852.88973100003,429867.42251400003
2025-03-06,468488.491571,70013.33373100004,398475.15784
2025-03-07,467006.87812500005,105653.09425100003,361353.783874
2025-03-10,465021.7297370001,140905.20145100003,324116.528286
2025-03-11,468557.72304099996,114305.93157100002,354251.79146999994
2025-03-12,473854.38526700006,156637.47429100002,317216.910976
2025-03-13,477262.695831,162854.00369100002,314408.69214
2025-03-14,483767.66451100004,192442.56225100002,291325.10226
2025-03-17,480649.531645,218527.17400300002,262122.357642
2025-03-18,477738.512519,177636.789449,300101.72307
2025-03-19,477042.008921,125300.63272100002,351741.3762
2025-03-20,478017.645555,108218.49222100002,369799.153334
2025-03-21,473329.93773400004,91384.23202900002,381945.70570500003
2025-03-24,476463.08106399997,108790.85860400002,367672.22245999996
2025-03-25,472531.114979,91431.22656400003,381099.888415
2025-03-26,470734.31189899996,125042.86176400003,345691.45013499993
2025-03-27,476895.234812,80449.93926800003,396445.295544
2025-03-28,480867.9042300001,69200.21331600004,411667.69091400004
2025-03-31,493464.04980100004,117606.30575200004,375857.74404900003
