date,nav,cash,positions_value
2024-01-02,528121.35,528121.35,0.0
2024-01-03,529359.95672,370591.95672,158768.0
2024-01-04,526859.95672,370591.95672,156268.0
2024-01-05,526295.95672,370591.95672,155704.0
2024-01-08,524358.95672,370591.95672,153767.0
2024-01-09,524059.95672,370591.95672,153468.0
2024-01-10,524109.95672,370591.95672,153518.0
2024-01-11,524616.95672,370591.95672,154025.0
2024-01-12,524265.95672,370591.95672,153674.0
2024-01-16,523902.95672,370591.95672,153311.0
2024-01-17,517659.95672,370591.95672,147068.0
2024-01-18,521046.95672,370591.95672,150455.0
2024-01-19,523459.95672,370591.95672,152868.0
2024-01-22,524159.95672,370591.95672,153568.0
2024-01-23,521859.95672,370591.95672,151268.0
2024-01-24,523838.26776,296540.26776,227298.0
2024-01-25,525782.26776,296540.26776,229242.0
2024-01-26,527202.26776,296540.26776,230662.0
2024-01-29,528599.7824,449735.7824,78864.0
2024-01-30,528041.7824,449735.7824,78306.0
2024-01-31,527928.56864,299019.56864,228909.0
2024-02-01,527882.56864,299019.56864,228863.0
