date,nav,cash,positions_value
2024-01-02,500170.03712,425092.03712,75078.0
2024-01-03,501140.03712,425092.03712,76048.0
2024-01-04,502110.03712,425092.03712,77018.0
2024-01-05,501722.03712,425092.03712,76630.0
2024-01-08,501916.03712,425092.03712,76824.0
2024-01-09,501916.03712,425092.03712,76824.0
2024-01-10,501334.03712,425092.03712,76242.0
2024-01-11,499976.03712,425092.03712,74884.0
2024-01-12,500558.03712,425092.03712,75466.0
2024-01-16,508124.03712,425092.03712,83032.0
2024-01-17,507154.03712,425092.03712,82062.00000000001
2024-01-18,507348.03712,425092.03712,82256.0
2024-01-19,507584.8762,466068.8762,41516.0
2024-01-22,507584.8762,466068.8762,41516.0
2024-01-23,507584.8762,466068.8762,41516.0
2024-01-24,507936.38468,314484.38468,193452.0
2024-01-25,509219.75972000003,335384.75972000003,173835.0
2024-01-26,509499.75972000003,335384.75972000003,174115.0
2024-01-29,510973.75972000003,335384.75972000003,175589.0
2024-01-30,507433.75972000003,335384.75972000003,172049.0
2024-01-31,506755.90532,342092.90532,164663.0
2024-02-01,506811.90532,342092.90532,164719.0
2024-02-02,505510.90532,342092.90532,163418.0
2024-02-05,509319.90532,342092.90532,167227.0
2024-02-06,514002.12236000004,343834.12236000004,170168.0
2024-02-07,517231.12236000004,343834.12236000004,173397.0
2024-02-08,516522.12236000004,343834.12236000004,172688.0
2024-02-09,516522.12236000004,343834.12236000004,172688.0
2024-02-12,516522.12236000004,343834.12236000004,172688.0
